Year,County,Hospital,Hospital ID,Performance Measure,Total Statewide CABG Cases,Total Statewide CABG Cases for Performance Measure Reporting,Statewide Adverse Events,Statewide Adverse Events Rate (%),Total Hospital CABG Cases,Total Hospital CABG Cases for Performance Measure Reporting,Hospital Adverse Events,Hospital Observed Adverse Events Rate (%),Hospital Expected Adverse Events Rate (%),"Hospital Risk-Adjusted Adverse Events Rate (%,RAAER)",Hospital Lower 95% CI for RAAER,Hospital Upper 95% CI for RAAER,Performance Rating,Longitude,Latitude
2022,Los Angeles,MemorialCare Long Beach Medical Center,106190525,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,143,111,4,3.60,3.11,2.85,0.78,7.30,Average,-118.19,33.81
2022,Los Angeles,USC Arcadia Hospital,106190529,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,25,25,3,12.00,2.65,11.15,2.30,32.58,Average,-118.04,34.14
2022,Los Angeles,Cedars – Sinai Medical Center,106190555,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,294,230,6,2.61,2.23,2.88,1.06,6.26,Average,-118.38,34.08
2022,Los Angeles,Northridge Hospital Medical Center,106190568,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,83,75,1,1.33,3.20,1.02,0.03,5.71,Average,-118.53,34.22
2022,Los Angeles,Pomona Valley Hospital Medical Center,106190630,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,121,111,5,4.50,2.76,4.01,1.30,9.36,Average,-117.75,34.08
2022,Los Angeles,PIH Health Hospital – Whittier,106190631,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,106,69,0,0.00,3.74,0.00,0.00,3.52,Average,-118.05,33.97
2022,Los Angeles,St. Francis Medical Center,106190754,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,17,17,1,5.88,1.78,8.13,0.21,45.32,Average,-118.20,33.93
2022,Los Angeles,Providence Saint John's Health Center,106190756,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,35,29,2,6.90,2.54,6.69,0.81,24.16,Average,-118.48,34.03
2022,Los Angeles,Providence Saint Joseph Medical Center,106190758,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,49,45,3,6.67,1.89,8.69,1.79,25.40,Average,-118.33,34.15
2022,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,218,151,1,0.66,1.72,0.95,0.02,5.29,Average,-118.45,34.07
2022,Los Angeles,Valley Presbyterian Hospital,106190812,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,47,45,1,2.22,1.85,2.96,0.07,16.47,Average,-118.46,34.19
2022,Los Angeles,West Hills Hospital and Medical Center,106190859,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,60,48,0,0.00,2.20,0.00,0.00,8.59,Average,-118.63,34.20
2022,Los Angeles,Adventist Health White Memorial,106190878,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,45,43,1,2.33,1.53,3.75,0.09,20.90,Average,-118.22,34.05
2022,Los Angeles,Henry Mayo Newhall Hospital,106190949,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,42,37,0,0.00,2.34,0.00,0.00,10.47,Average,-118.55,34.40
2022,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,58,52,0,0.00,1.62,0.00,0.00,10.77,Average,-118.29,33.83
2022,Los Angeles,Los Angeles County+USC Medical Center,106191228,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,48,45,1,2.22,1.17,4.65,0.12,25.93,Average,-118.21,34.06
2022,Los Angeles,Keck Hospital of USC,106194219,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,144,78,0,0.00,2.02,0.00,0.00,5.75,Average,-118.20,34.06
2022,Marin,MarinHealth Medical Center,106211006,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,35,26,0,0.00,1.82,0.00,0.00,19.13,Average,-122.54,37.95
2022,Monterey,Community Hospital of the Monterey Peninsula,106270744,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,85,67,1,1.49,2.06,1.78,0.05,9.91,Average,-121.92,36.60
2022,Monterey,Salinas Valley Health Medical Center,106270875,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,128,124,3,2.42,3.24,1.84,0.38,5.37,Average,-121.65,36.66
2022,Napa,Providence Queen of the Valley Medical Center,106281047,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,42,37,0,0.00,2.36,0.00,0.00,10.40,Average,-122.30,38.32
2022,Napa,Adventist Health St. Helena,106281078,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,98,48,4,8.33,4.02,5.09,1.39,13.04,Average,-122.47,38.54
2022,Orange,MemorialCare Orange Coast Medical Center,106300225,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,127,106,0,0.00,2.10,0.00,0.00,4.07,Average,-117.96,33.70
2022,Orange,AHMC Anaheim Regional Medical Center,106301098,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,111,99,2,2.02,1.35,3.68,0.45,13.28,Average,-117.93,33.85
2022,Orange,Fountain Valley Regional Hospital & Medical Center – Euclid,106301175,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,89,84,3,3.57,2.72,3.23,0.67,9.45,Average,-117.94,33.72
2022,Orange,Hoag Memorial Hospital Presbyterian,106301205,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,277,212,2,0.94,2.40,0.97,0.12,3.49,Average,-117.93,33.63
2022,Orange,Providence Mission Hospital,106301262,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,125,107,1,0.93,1.90,1.21,0.03,6.74,Average,-117.67,33.56
2022,Orange,UC Irvine Medical Center,106301279,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,131,106,2,1.89,3.20,1.45,0.18,5.24,Average,-117.89,33.79
2022,Orange,MemorialCare Saddleback Medical Center,106301317,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,59,53,1,1.89,2.66,1.74,0.04,9.71,Average,-117.71,33.61
2022,Orange,Providence St. Joseph Hospital,106301340,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,125,106,2,1.89,1.81,2.56,0.31,9.26,Average,-117.87,33.78
2022,Orange,Providence St. Jude Medical Center,106301342,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,125,106,3,2.83,2.14,3.26,0.67,9.52,Average,-117.93,33.89
2022,Orange,West Anaheim Medical Center,106301379,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,33,31,1,3.23,3.52,2.25,0.06,12.55,Average,-117.99,33.82
2022,Orange,Orange County Global Medical Center,106301566,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,73,66,2,3.03,2.87,2.60,0.31,9.38,Average,-117.83,33.75
2022,Riverside,Desert Regional Medical Center,106331164,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,97,86,3,3.49,2.01,4.26,0.88,12.46,Average,-116.55,33.84
2022,Riverside,Eisenhower Medical Center,106331168,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,138,119,2,1.68,2.05,2.02,0.24,7.28,Average,-116.41,33.76
2022,Riverside,Riverside Community Hospital,106331312,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,213,158,1,0.63,2.22,0.70,0.02,3.91,Average,-117.38,33.98
2022,Riverside,Temecula Valley Hospital,106334564,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,148,127,2,1.57,2.15,1.80,0.22,6.51,Average,-117.10,33.48
2022,Riverside,Loma Linda University Medical Center – Murrieta,106334589,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,75,68,3,4.41,2.45,4.43,0.91,12.95,Average,-117.16,33.61
2022,Sacramento,Mercy General Hospital,106340947,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,707,556,9,1.62,2.51,1.59,0.73,3.01,Average,-121.45,38.57
2022,Sacramento,Mercy San Juan Medical Center,106340950,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,122,91,3,3.30,2.88,2.82,0.58,8.23,Average,-121.31,38.67
2022,Sacramento,UC Davis Medical Center,106341006,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,91,82,1,1.22,1.57,1.92,0.05,10.68,Average,-121.46,38.55
2022,Sacramento,Sutter Medical Center – Sacramento,106341051,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,446,345,10,2.90,2.46,2.89,1.39,5.32,Average,-121.47,38.57
2022,San Bernardino,Kaiser Foundation Hospital – Fontana,106361223,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,327,272,2,0.74,1.69,1.07,0.13,3.86,Average,-117.44,34.07
2022,San Bernardino,Loma Linda University Medical Center,106361246,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,240,180,4,2.22,2.78,1.96,0.54,5.03,Average,-117.26,34.05
2022,San Bernardino,San Antonio Regional Hospital,106361318,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,158,115,3,2.61,2.15,2.99,0.62,8.74,Average,-117.64,34.10
2022,San Bernardino,St. Bernardine Medical Center,106361339,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,215,183,6,3.28,2.79,2.89,1.06,6.30,Average,-117.28,34.13
2022,San Bernardino,St. Mary Medical Center – Apple Valley,106361343,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,70,64,1,1.56,2.46,1.56,0.04,8.69,Average,-117.27,34.54
2022,San Bernardino,Arrowhead Regional Medical Center,106364231,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,31,29,0,0.00,1.60,0.00,0.00,19.56,Average,-117.35,34.07
2022,San Diego,Sharp Memorial Hospital,106370694,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,129,94,2,2.13,2.18,2.41,0.29,8.69,Average,-117.16,32.80
2022,San Diego,Grossmont Hospital,106370714,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,100,83,9,10.84,2.97,8.97,4.10,17.03,Worse,-117.01,32.78
2022,San Diego,Scripps Mercy Hospital,106370744,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,92,79,1,1.27,1.73,1.79,0.05,10.00,Average,-117.16,32.75
2022,San Diego,Scripps Memorial Hospital – La Jolla,106370771,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,426,349,3,0.86,2.17,0.97,0.20,2.84,Average,-117.22,32.89
2022,San Diego,Tri-City Medical Center,106370780,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,43,33,2,6.06,3.01,4.96,0.60,17.91,Average,-117.29,33.18
2022,San Diego,Sharp Chula Vista Medical Center,106370875,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,164,149,4,2.68,2.66,2.48,0.68,6.34,Average,-117.02,32.62
2022,San Diego,UC San Diego Health La Jolla – Jacobs Medical Center & Sulpizio Cardiovascular Center,106374141,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,211,153,2,1.31,2.46,1.31,0.16,4.72,Average,-117.22,32.88
2022,San Diego,Palomar Medical Center,106374382,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,64,56,2,3.57,3.15,2.79,0.34,10.06,Average,-117.12,33.12
2022,San Francisco,Kaiser Foundation Hospital – San Francisco,106380857,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,599,527,2,0.38,1.38,0.68,0.08,2.45,Better,-122.44,37.78
2022,San Francisco,UC San Francisco Medical Center,106381154,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,204,165,5,3.03,1.88,3.96,1.29,9.24,Average,-122.46,37.76
2022,San Francisco,California Pacific Medical Center – Van Ness Campus,106384176,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,91,69,0,0.00,2.38,0.00,0.00,5.51,Average,-122.42,37.79
2022,San Joaquin,Dameron Hospital,106390846,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,45,41,5,12.20,3.46,8.67,2.82,20.24,Worse,-121.30,37.96
2022,San Joaquin,St. Joseph's Medical Center of Stockton,106391042,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,253,225,6,2.67,3.71,1.77,0.65,3.85,Average,-121.29,37.97
2022,San Luis Obispo,French Hospital Medical Center,106400480,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,69,47,1,2.13,1.62,3.24,0.08,18.04,Average,-120.65,35.28
2022,San Mateo,AHMC Seton Medical Center,106410817,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,29,29,2,6.90,5.58,3.04,0.37,10.99,Average,-122.47,37.68
2022,San Mateo,Mills-Peninsula Medical Center,106410852,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,68,59,2,3.39,2.21,3.77,0.46,13.62,Average,-122.38,37.59
2022,San Mateo,Sequoia Hospital,106410891,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,99,62,3,4.84,2.91,4.09,0.84,11.96,Average,-122.25,37.48
2022,Santa Barbara,Marian Regional Medical Center,106420493,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,93,82,4,4.88,3.06,3.92,1.07,10.04,Average,-120.41,34.95
2022,Santa Barbara,Santa Barbara Cottage Hospital,106420514,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,88,68,5,7.35,2.50,7.22,2.34,16.85,Average,-119.72,34.43
2022,Santa Clara,Regional Medical Center of San Jose,106430705,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,16,16,0,0.00,3.99,0.00,0.00,14.20,Average,-121.85,37.36
2022,Santa Clara,El Camino Health,106430763,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,127,105,3,2.86,2.52,2.79,0.57,8.14,Average,-122.08,37.37
2022,Santa Clara,Good Samaritan Hospital – San Jose,106430779,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,75,56,0,0.00,1.76,0.00,0.00,9.18,Average,-121.94,37.25
2022,Santa Clara,O'Connor Hospital,106430837,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,100,92,2,2.17,2.47,2.16,0.26,7.81,Average,-121.94,37.33
2022,Santa Clara,Santa Clara Valley Medical Center,106430883,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,54,43,2,4.65,1.76,6.48,0.78,23.41,Average,-121.93,37.31
2022,Santa Clara,Stanford Health Care,106430905,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,291,207,0,0.00,2.10,0.00,0.00,2.08,Better,-122.18,37.43
2022,Santa Clara,Kaiser Foundation Hospital – Santa Clara,106434153,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,517,440,0,0.00,1.95,0.00,0.00,1.06,Better,-122.00,37.33
2022,Santa Cruz,Dominican Hospital,106440755,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,70,46,1,2.17,2.43,2.20,0.06,12.24,Average,-121.98,36.99
2022,Shasta,Shasta Regional Medical Center,106450940,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,83,71,1,1.41,2.12,1.63,0.04,9.10,Average,-122.39,40.59
2022,Shasta,Mercy Medical Center – Redding,106450949,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,77,69,6,8.70,3.45,6.19,2.27,13.48,Average,-122.40,40.57
2022,Solano,NorthBay Medical Center,106481357,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,69,64,8,12.50,2.35,13.07,5.64,25.75,Worse,-122.05,38.26
2022,Sonoma,Providence Santa Rosa Memorial Hospital – Montgomery,106491064,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,64,48,0,0.00,2.65,0.00,0.00,7.13,Average,-122.70,38.44
2022,Stanislaus,Doctors Medical Center,106500852,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,252,208,15,7.21,2.93,6.04,3.38,9.97,Worse,-121.00,37.66
2022,Stanislaus,Memorial Medical Center – Modesto,106500939,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,120,91,5,5.49,2.42,5.58,1.81,13.02,Average,-120.97,37.67
2022,Tulare,Kaweah Health Medical Center,106540734,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,192,169,5,2.96,2.79,2.61,0.85,6.08,Average,-119.29,36.33
2022,Ventura,Community Memorial Hospital – San Buenaventura,106560473,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,88,74,0,0.00,2.54,0.00,0.00,4.83,Average,-119.26,34.27
2022,Ventura,Los Robles Hospital & Medical Center,106560492,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,79,65,5,7.69,3.81,4.96,1.61,11.58,Average,-118.88,34.21
2022,Ventura,St. John's Regional Medical Center,106560529,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,48,44,1,2.27,3.03,1.84,0.05,10.27,Average,-119.16,34.22
2022,Yuba,Adventist Health and Rideout,106580996,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,55,54,5,9.26,3.61,6.32,2.05,14.74,Average,-121.59,39.14
2021-2022,Alameda,Alta Bates Summit Medical Center,106010937,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,321,34,6,17.65,12.03,8.31,3.05,18.08,Average,-122.26,37.82
2021-2022,Alameda,Washington Hospital – Fremont,106010987,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,208,9,1,11.11,4.89,12.86,0.33,71.66,Average,-121.98,37.56
2021-2022,Alameda,Stanford Health Care Tri-Valley,106014050,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,173,23,3,13.04,5.71,12.93,2.67,37.78,Average,-121.88,37.69
2021-2022,Butte,Enloe Medical Center– Esplanade,106040962,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,273,25,0,0.00,5.18,0.00,0.00,16.13,Average,-121.85,39.74
2021-2022,Contra Costa,John Muir Medical Center – Concord Campus,106071018,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,538,55,2,3.64,5.58,3.69,0.45,13.34,Average,-122.04,37.99
2021-2022,Contra Costa,San Ramon Regional Medical Center,106074017,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,44,.,.,.,.,.,.,.,"Not
Appplicable",-121.96,37.78
2021-2022,Fresno,Community Regional Medical Center – Fresno,106100717,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,28,2,0,0.00,28.92,0.00,0.00,36.12,Average,-119.78,36.74
2021-2022,Fresno,Saint Agnes Medical Center,106100899,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,487,77,3,3.90,5.24,4.21,0.87,12.31,Average,-119.76,36.84
2021-2022,Fresno,Fresno Heart and Surgical Hospital,106105029,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,920,94,2,2.13,6.08,1.98,0.24,7.16,Average,-119.79,36.86
2021-2022,Humboldt,Providence St. Joseph Hospital – Eureka,106121080,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,49,6,0,0.00,11.35,0.00,0.00,30.67,Average,-124.14,40.78
2021-2022,Kern,Bakersfield Memorial Hospital,106150722,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,143,12,0,0.00,3.87,0.00,0.00,44.97,Average,-119.01,35.39
2021-2022,Kern,Adventist Health Bakersfield,106150788,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,74,3,0,0.00,9.65,0.00,0.00,72.14,Average,-119.02,35.38
2021-2022,Kern,Bakersfield Heart Hospital,106154101,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,105,5,1,20.00,5.19,21.84,0.55,100.00,Average,-119.04,35.39
2021-2022,Los Angeles,Antelope Valley Hospital,106190034,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,79,5,0,0.00,2.15,0.00,0.00,100.00,Average,-118.16,34.69
2021-2022,Los Angeles,St. Mary Medical Center – Long Beach,106190053,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,73,5,0,0.00,7.63,0.00,0.00,54.77,Average,-118.19,33.78
2021-2022,Los Angeles,Beverly Hospital,106190081,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,32,2,0,0.00,6.12,0.00,0.00,100.00,Average,-118.10,34.02
2021-2022,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,93,6,0,0.00,4.41,0.00,0.00,78.90,Average,-118.27,34.04
2021-2022,Los Angeles,Centinela Hospital Medical Center,106190148,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,86,3,1,33.33,4.17,45.27,1.15,100.00,Average,-118.35,33.95
2021-2022,Los Angeles,Lakewood Regional Medical Center,106190240,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,197,12,1,8.33,6.73,7.01,0.18,39.07,Average,-118.15,33.86
2021-2022,Los Angeles,PIH Health Hospital – Downey,106190243,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,32,2,0,0.00,2.48,0.00,0.00,100.00,Average,-118.13,33.94
2021-2022,Los Angeles,Garfield Medical Center,106190315,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,297,15,1,6.67,7.08,5.33,0.13,29.70,Average,-118.12,34.07
2021-2022,Los Angeles,Adventist Health Glendale,106190323,CABG+Valve Operative Mortality,"29,996","3,143",178,5.66,186,5,0,0.00,3.85,0.00,0.00,100.00,Average,-118.23,34.15
