Year,County,Hospital,OSHPD ID,Performance Measure,# of Cases,# of Adverse Events,Risk-adjusted Rate,Performance Rating,Longitude,Latitude
2013,AAAA,STATEWIDE,,CABG Operative Mortality ,11940,273,2.29,,,
2013,AAAA,STATEWIDE,,Post-Operative Stroke ,23660,352,1.49,,,
2013,AAAA,STATEWIDE,,Post-Operative Stroke ,23660,352,1.49,,,
2012,AAAA,STATEWIDE,,30-day Readmission ,10553,1292,12.24,,,
2012,AAAA,STATEWIDE,,Operative Mortality ,11720,247,2.11,,,
2017-2018,Alameda,Alta Bates Summit Medical Center,106010937,CABG + Valve Operative Mortality,30,0,0.00,Average,-122.26,37.82
2017-2018,Alameda,Alta Bates Summit Medical Center,106010937,CABG 30-Day Readmission,255,25,9.78,Average,-122.26,37.82
2017-2018,Alameda,Alta Bates Summit Medical Center,106010937,Post-Operative Stroke,287,3,0.96,Average,-122.26,37.82
2016-2017,Alameda,Alta Bates Summit Medical Center,106010937,CABG + Valve Operative Mortality,29,1,2.58,Average,-122.26,37.82
2016-2017,Alameda,Alta Bates Summit Medical Center,106010937,Post-Operative Stroke,262,4,1.55,Average,-122.26,37.82
2018,Alameda,Alta Bates Summit Medical Center,106010937,CABG Operative Mortality,143,2,1.37,Average,-122.26,37.82
2017,Alameda,Alta Bates Summit Medical Center,106010937,CABG Operative Mortality,144,2,1.65,Average,-122.26,37.82
2015-2016,Alameda,Alta Bates Summit Medical Center - Summit Campus,106010937,CABG + Valve Operative Mortality,31,1,1.95,Average,-122.26,37.82
2015-2016,Alameda,Alta Bates Summit Medical Center - Summit Campus,106010937,CABG 30-Day Readmission,197,22,10.39,Average,-122.26,37.82
2015-2016,Alameda,Alta Bates Summit Medical Center - Summit Campus,106010937,Post-Operative Stroke,226,2,0.86,Average,-122.26,37.82
2014-2015,Alameda,Alta Bates Summit Medical Center - Summit Campus,106010937,30-Day Readmission,199,23,11.05,Average,-122.26,37.82
2014-2015,Alameda,Alta Bates Summit Medical Center - Summit Campus,106010937,CABG + Valve Operative Mortality,39,2,3.91,Average,-122.26,37.82
2014-2015,Alameda,Alta Bates Summit Medical Center - Summit Campus,106010937,Post-Operative Stroke ,223,0,0,Average,-122.26,37.82
2016,Alameda,Alta Bates Summit Medical Center - Summit Campus,106010937,CABG Operative Mortality,118,1,0.84,Average,-122.26,37.82
2015,Alameda,Alta Bates Summit Medical Center - Summit Campus,106010937,CABG Operative Mortality ,108,3,2.23,Average,-122.26,37.82
2013-2014,Alameda,Alta Bates Summit Medical Center – Summit Campus  – Hawthorne ,106010937,CABG + Valve Operative Mortality,56,6,9.66,Average,-122.26,37.82
2013-2014,Alameda,Alta Bates Summit Medical Center – Summit Campus  – Hawthorne ,106010937,Post-Operative Stroke ,236,0,0,Average,-122.26,37.82
2011-2012,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,106010937,Post-Operative Stroke ,242,3,1.01,Average,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,106010937,30-day Readmission ,107,17,15.5,Average,-122.26,37.82
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,106010937,30-day Readmission ,107,17,15.5,Average,-122.26,37.82
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,106010937,CABG + Valve Operative Mortality,65,4,5.21,Average,-122.26,37.82
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,106010937,CABG + Valve Operative Mortality,65,4,5.21,Average,-122.26,37.82
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,106010937,CABG Operative Mortality ,121,2,1.76,Average,-122.26,37.82
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,106010937,CABG Operative Mortality ,121,2,1.76,Average,-122.26,37.82
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,106010937,Post-Operative Stroke ,233,2,0.78,Average,-122.26,37.82
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,106010937,Post-Operative Stroke ,233,2,0.78,Average,-122.26,37.82
2012,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,106010937,30-day Readmission ,92,16,16.53,Average,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,106010937,Operative Mortality ,112,3,2.37,Average,-122.26257,37.82106
2014,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne ,106010937,CABG Operative Mortality ,115,0,0,Average,-122.26,37.82
2017-2018,Alameda,Stanford Health Care - Valleycare,106014050,CABG + Valve Operative Mortality,7,0,0.00,Average,-121.88,37.69
2017-2018,Alameda,Stanford Health Care - Valleycare,106014050,CABG 30-Day Readmission,63,5,7.80,Average,-121.88,37.69
2017-2018,Alameda,Stanford Health Care - Valleycare,106014050,Post-Operative Stroke,68,3,4.72,Average,-121.88,37.69
2018,Alameda,Stanford Health Care - Valleycare,106014050,CABG Operative Mortality,34,0,0.00,Average,-121.88,37.69
2016-2017,Alameda,Valleycare Medical Center,106014050,CABG + Valve Operative Mortality,4,0,0.00,Average,-121.88,37.69
2016-2017,Alameda,Valleycare Medical Center,106014050,Post-Operative Stroke,72,4,5.33,Average,-121.88,37.69
2015-2016,Alameda,Valleycare Medical Center,106014050,CABG + Valve Operative Mortality,9,0,0.00,Average,-121.88,37.69
2015-2016,Alameda,Valleycare Medical Center,106014050,CABG 30-Day Readmission,51,6,12.81,Average,-121.88,37.69
2015-2016,Alameda,Valleycare Medical Center,106014050,Post-Operative Stroke,55,2,3.91,Average,-121.88,37.69
2014-2015,Alameda,Valleycare Medical Center,106014050,30-Day Readmission,39,5,13.12,Average,-121.88,37.69
2014-2015,Alameda,Valleycare Medical Center,106014050,CABG + Valve Operative Mortality,12,0,0,Average,-121.88,37.69
2014-2015,Alameda,Valleycare Medical Center,106014050,Post-Operative Stroke ,42,1,2.5,Average,-121.88,37.69
2013-2014,Alameda,Valleycare Medical Center,106014050,CABG + Valve Operative Mortality,13,1,6.31,Average,-121.88,37.69
2013-2014,Alameda,Valleycare Medical Center,106014050,Post-Operative Stroke ,48,0,0,Average,-121.88,37.69
2011-2012,Alameda,Valleycare Medical Center,106014050,Post-Operative Stroke ,72,0,0,Average,-121.88095,37.69206
2017,Alameda,Valleycare Medical Center,106014050,CABG Operative Mortality,34,0,0.00,Average,-121.88,37.69
2016,Alameda,Valleycare Medical Center,106014050,CABG Operative Mortality,38,2,6.27,Average,-121.88,37.69
2015,Alameda,Valleycare Medical Center,106014050,CABG Operative Mortality ,17,1,5.79,Average,-121.88,37.69
2014,Alameda,Valleycare Medical Center,106014050,CABG Operative Mortality ,25,0,0,Average,-121.88,37.69
2013,Alameda,Valleycare Medical Center,106014050,30-day Readmission ,18,2,9.43,Average,-121.88,37.69
2013,Alameda,Valleycare Medical Center,106014050,30-day Readmission ,18,2,9.43,Average,-121.88,37.69
2013,Alameda,Valleycare Medical Center,106014050,CABG + Valve Operative Mortality,13,1,5.76,Average,-121.88,37.69
2013,Alameda,Valleycare Medical Center,106014050,CABG + Valve Operative Mortality,13,1,5.76,Average,-121.88,37.69
2013,Alameda,Valleycare Medical Center,106014050,CABG Operative Mortality ,23,0,0,Average,-121.88,37.69
2013,Alameda,Valleycare Medical Center,106014050,CABG Operative Mortality ,23,0,0,Average,-121.88,37.69
2013,Alameda,Valleycare Medical Center,106014050,Post-Operative Stroke ,61,0,0,Average,-121.88,37.69
2013,Alameda,Valleycare Medical Center,106014050,Post-Operative Stroke ,61,0,0,Average,-121.88,37.69
2012,Alameda,Valleycare Medical Center,106014050,30-day Readmission ,34,2,5.69,Average,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Operative Mortality ,38,0,0,Average,-121.88095,37.69206
2017-2018,Alameda,Washington Hospital - Fremont,106010987,CABG + Valve Operative Mortality,14,0,0.00,Average,-121.98,37.56
2017-2018,Alameda,Washington Hospital - Fremont,106010987,CABG 30-Day Readmission,134,12,9.55,Average,-121.98,37.56
2017-2018,Alameda,Washington Hospital - Fremont,106010987,Post-Operative Stroke,157,1,0.61,Average,-121.98,37.56
2016-2017,Alameda,Washington Hospital - Fremont,106010987,CABG + Valve Operative Mortality,10,1,9.74,Average,-121.98,37.56
2016-2017,Alameda,Washington Hospital - Fremont,106010987,Post-Operative Stroke,188,1,0.58,Average,-121.98,37.56
2015-2016,Alameda,Washington Hospital - Fremont,106010987,CABG + Valve Operative Mortality,11,1,10.36,Average,-121.98,37.56
2015-2016,Alameda,Washington Hospital - Fremont,106010987,CABG 30-Day Readmission,145,16,11.25,Average,-121.98,37.56
2015-2016,Alameda,Washington Hospital - Fremont,106010987,Post-Operative Stroke,174,0,0.00,Average,-121.98,37.56
2014-2015,Alameda,Washington Hospital - Fremont,106010987,30-Day Readmission,141,18,13.01,Average,-121.98,37.56
2014-2015,Alameda,Washington Hospital - Fremont,106010987,CABG + Valve Operative Mortality,15,1,5.74,Average,-121.98,37.56
2014-2015,Alameda,Washington Hospital - Fremont,106010987,Post-Operative Stroke ,165,0,0,Average,-121.98,37.56
2011-2012,Alameda,Washington Hospital - Fremont,106010987,Post-Operative Stroke ,166,2,0.95,Average,-121.98006,37.55847
2018,Alameda,Washington Hospital - Fremont,106010987,CABG Operative Mortality,63,2,4.06,Average,-121.98,37.56
2017,Alameda,Washington Hospital - Fremont,106010987,CABG Operative Mortality,94,1,1.22,Average,-121.98,37.56
2016,Alameda,Washington Hospital - Fremont,106010987,CABG Operative Mortality,94,1,1.34,Average,-121.98,37.56
2015,Alameda,Washington Hospital - Fremont,106010987,CABG Operative Mortality ,79,0,0,Average,-121.98,37.56
2013,Alameda,Washington Hospital - Fremont,106010987,30-day Readmission ,93,12,11.98,Average,-121.98,37.56
2013,Alameda,Washington Hospital - Fremont,106010987,30-day Readmission ,93,12,11.98,Average,-121.98,37.56
2013,Alameda,Washington Hospital - Fremont,106010987,CABG + Valve Operative Mortality,11,3,22.93,Average,-121.98,37.56
2013,Alameda,Washington Hospital - Fremont,106010987,CABG + Valve Operative Mortality,11,3,22.93,Average,-121.98,37.56
2013,Alameda,Washington Hospital - Fremont,106010987,CABG Operative Mortality ,112,3,2.3,Average,-121.98,37.56
2013,Alameda,Washington Hospital - Fremont,106010987,CABG Operative Mortality ,112,3,2.3,Average,-121.98,37.56
2013,Alameda,Washington Hospital - Fremont,106010987,Post-Operative Stroke ,189,5,2.28,Average,-121.98,37.56
2013,Alameda,Washington Hospital - Fremont,106010987,Post-Operative Stroke ,189,5,2.28,Average,-121.98,37.56
2012,Alameda,Washington Hospital - Fremont,106010987,30-day Readmission ,65,9,13.04,Average,-121.98006,37.55847
2012,Alameda,Washington Hospital - Fremont,106010987,Operative Mortality ,77,1,1.05,Average,-121.98006,37.55847
2013-2014,Alameda,Washington Hospital – Fremont,106010987,CABG + Valve Operative Mortality,13,3,15.97,Average,-121.98,37.56
2013-2014,Alameda,Washington Hospital – Fremont,106010987,Post-Operative Stroke ,198,4,1.98,Average,-121.98,37.56
2014,Alameda,Washington Hospital – Fremont,106010987,CABG Operative Mortality ,86,0,0,Average,-121.98,37.56
2017-2018,Butte,Enloe Medical Center - Esplanade,106040962,CABG + Valve Operative Mortality,34,2,6.86,Average,-121.85,39.74
2017-2018,Butte,Enloe Medical Center - Esplanade,106040962,CABG 30-Day Readmission,287,40,14.06,Average,-121.85,39.74
2017-2018,Butte,Enloe Medical Center - Esplanade,106040962,Post-Operative Stroke,303,2,0.77,Average,-121.85,39.74
2016-2017,Butte,Enloe Medical Center - Esplanade,106040962,CABG + Valve Operative Mortality,29,1,4.75,Average,-121.85,39.74
2016-2017,Butte,Enloe Medical Center - Esplanade,106040962,Post-Operative Stroke,304,3,1.01,Average,-121.85,39.74
2018,Butte,Enloe Medical Center - Esplanade,106040962,CABG Operative Mortality,148,3,2.37,Average,-121.85,39.74
2017,Butte,Enloe Medical Center - Esplanade,106040962,CABG Operative Mortality,155,3,2.10,Average,-121.85,39.74
2011-2012,Butte,Enloe Medical Center  Esplanade Campus,106040962,Post-Operative Stroke ,281,2,0.76,Average,-121.84922,39.74224
2013,Butte,Enloe Medical Center  Esplanade Campus,106040962,30-day Readmission ,115,11,10.97,Average,-121.85,39.74
2013,Butte,Enloe Medical Center  Esplanade Campus,106040962,30-day Readmission ,115,11,10.97,Average,-121.85,39.74
2013,Butte,Enloe Medical Center  Esplanade Campus,106040962,CABG + Valve Operative Mortality,35,1,4.87,Average,-121.85,39.74
2013,Butte,Enloe Medical Center  Esplanade Campus,106040962,CABG + Valve Operative Mortality,35,1,4.87,Average,-121.85,39.74
2013,Butte,Enloe Medical Center  Esplanade Campus,106040962,CABG Operative Mortality ,121,4,3.68,Average,-121.85,39.74
2013,Butte,Enloe Medical Center  Esplanade Campus,106040962,CABG Operative Mortality ,121,4,3.68,Average,-121.85,39.74
2013,Butte,Enloe Medical Center  Esplanade Campus,106040962,Post-Operative Stroke ,253,2,0.88,Average,-121.85,39.74
2013,Butte,Enloe Medical Center  Esplanade Campus,106040962,Post-Operative Stroke ,253,2,0.88,Average,-121.85,39.74
2012,Butte,Enloe Medical Center  Esplanade Campus,106040962,30-day Readmission ,129,19,15.9,Average,-121.84922,39.74224
2012,Butte,Enloe Medical Center  Esplanade Campus,106040962,Operative Mortality ,132,1,0.78,Average,-121.84922,39.74224
2015-2016,Butte,Enloe Medical Center - Esplanade Campus,106040962,CABG + Valve Operative Mortality,31,3,9.05,Average,-121.85,39.74
2015-2016,Butte,Enloe Medical Center - Esplanade Campus,106040962,CABG 30-Day Readmission,278,34,12.55,Average,-121.85,39.74
2015-2016,Butte,Enloe Medical Center - Esplanade Campus,106040962,Post-Operative Stroke,295,4,1.44,Average,-121.85,39.74
2014-2015,Butte,Enloe Medical Center - Esplanade Campus,106040962,30-Day Readmission,257,32,12.58,Average,-121.85,39.74
2014-2015,Butte,Enloe Medical Center - Esplanade Campus,106040962,CABG + Valve Operative Mortality,32,4,12.04,Average,-121.85,39.74
2014-2015,Butte,Enloe Medical Center - Esplanade Campus,106040962,Post-Operative Stroke ,276,5,1.88,Average,-121.85,39.74
2016,Butte,Enloe Medical Center - Esplanade Campus,106040962,CABG Operative Mortality,149,3,2.41,Average,-121.85,39.74
2015,Butte,Enloe Medical Center - Esplanade Campus,106040962,CABG Operative Mortality ,146,6,4,Average,-121.85,39.74
2013-2014,Butte,Enloe Medical Center – Esplanade Campus,106040962,CABG + Valve Operative Mortality,35,2,10.5,Average,-121.85,39.74
2013-2014,Butte,Enloe Medical Center – Esplanade Campus,106040962,Post-Operative Stroke ,251,4,1.71,Average,-121.85,39.74
2014,Butte,Enloe Medical Center – Esplanade Campus,106040962,CABG Operative Mortality ,130,2,1.3,Average,-121.85,39.74
2017-2018,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,CABG + Valve Operative Mortality,60,2,3.59,Average,-122.04,37.99
2017-2018,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,CABG 30-Day Readmission,313,27,7.99,Average,-122.04,37.99
2017-2018,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,Post-Operative Stroke,365,5,1.19,Average,-122.04,37.99
2016-2017,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,CABG + Valve Operative Mortality,64,3,5.70,Average,-122.04,37.99
2016-2017,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,Post-Operative Stroke,374,4,0.96,Average,-122.04,37.99
2018,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,CABG Operative Mortality,182,2,0.99,Average,-122.04,37.99
2017,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,CABG Operative Mortality,183,3,1.36,Average,-122.04,37.99
2017-2018,Contra  Costa,San Ramon Regional Medical Center,106074017,CABG + Valve Operative Mortality,9,0,0.00,Average,-121.96,37.78
2017-2018,Contra  Costa,San Ramon Regional Medical Center,106074017,CABG 30-Day Readmission,35,3,11.15,Average,-121.96,37.78
2017-2018,Contra  Costa,San Ramon Regional Medical Center,106074017,Post-Operative Stroke,41,2,6.33,Average,-121.96,37.78
2016-2017,Contra  Costa,San Ramon Regional Medical Center,106074017,Post-Operative Stroke,37,1,3.55,Average,-121.96,37.78
2018,Contra  Costa,San Ramon Regional Medical Center,106074017,CABG Operative Mortality,19,1,3.98,Average,-121.96,37.78
2017,Contra  Costa,San Ramon Regional Medical Center,106074017,CABG Operative Mortality,22,0,0.00,Average,-121.96,37.78
2016-2017,Contra  Costa,San Ramon Regional Medical Center ,106074017,CABG + Valve Operative Mortality,3,0,0.00,Average,-121.96,37.78
2015-2016,Contra Costa,John Muir Medical Center - Concord Campus,106071018,CABG + Valve Operative Mortality,66,2,3.82,Average,-122.04,37.99
2015-2016,Contra Costa,John Muir Medical Center - Concord Campus,106071018,CABG 30-Day Readmission,332,41,12.26,Average,-122.04,37.99
2015-2016,Contra Costa,John Muir Medical Center - Concord Campus,106071018,Post-Operative Stroke,377,8,2.11,Average,-122.04,37.99
2014-2015,Contra Costa,John Muir Medical Center - Concord Campus,106071018,30-Day Readmission,345,38,11.37,Average,-122.04,37.99
2014-2015,Contra Costa,John Muir Medical Center - Concord Campus,106071018,CABG + Valve Operative Mortality,65,1,1.77,Average,-122.04,37.99
2014-2015,Contra Costa,John Muir Medical Center - Concord Campus,106071018,Post-Operative Stroke ,392,7,1.86,Average,-122.04,37.99
2011-2012,Contra Costa,John Muir Medical Center - Concord Campus,106071018,Post-Operative Stroke ,425,4,1.04,Average,-122.03874,37.98615
2016,Contra Costa,John Muir Medical Center - Concord Campus,106071018,CABG Operative Mortality,191,0,0.00,Better,-122.04,37.99
2015,Contra Costa,John Muir Medical Center - Concord Campus,106071018,CABG Operative Mortality ,186,3,1.61,Average,-122.04,37.99
2013,Contra Costa,John Muir Medical Center - Concord Campus,106071018,30-day Readmission ,189,17,9.35,Average,-122.04,37.99
2013,Contra Costa,John Muir Medical Center - Concord Campus,106071018,30-day Readmission ,189,17,9.35,Average,-122.04,37.99
2013,Contra Costa,John Muir Medical Center - Concord Campus,106071018,CABG + Valve Operative Mortality,68,5,8.01,Average,-122.04,37.99
2013,Contra Costa,John Muir Medical Center - Concord Campus,106071018,CABG + Valve Operative Mortality,68,5,8.01,Average,-122.04,37.99
2013,Contra Costa,John Muir Medical Center - Concord Campus,106071018,CABG Operative Mortality ,207,1,0.54,Average,-122.04,37.99
2013,Contra Costa,John Muir Medical Center - Concord Campus,106071018,CABG Operative Mortality ,207,1,0.54,Average,-122.04,37.99
2013,Contra Costa,John Muir Medical Center - Concord Campus,106071018,Post-Operative Stroke ,425,3,0.82,Average,-122.04,37.99
2013,Contra Costa,John Muir Medical Center - Concord Campus,106071018,Post-Operative Stroke ,425,3,0.82,Average,-122.04,37.99
2012,Contra Costa,John Muir Medical Center - Concord Campus,106071018,30-day Readmission ,202,11,5.63,Better,-122.03874,37.98615
2012,Contra Costa,John Muir Medical Center - Concord Campus,106071018,Operative Mortality ,218,3,1.63,Average,-122.03874,37.98615
2013-2014,Contra Costa,John Muir Medical Center – Concord Campus,106071018,CABG + Valve Operative Mortality,60,5,8.72,Average,-122.04,37.99
2013-2014,Contra Costa,John Muir Medical Center – Concord Campus,106071018,Post-Operative Stroke ,413,2,0.48,Average,-122.04,37.99
2014,Contra Costa,John Muir Medical Center – Concord Campus,106071018,CABG Operative Mortality ,206,1,0.46,Average,-122.04,37.99
2015-2016,Contra Costa,San Ramon Regional Medical Center,106074017,CABG + Valve Operative Mortality,5,0,0.00,Average,-121.96,37.78
2015-2016,Contra Costa,San Ramon Regional Medical Center,106074017,CABG 30-Day Readmission,37,8,21.61,Average,-121.96,37.78
2015-2016,Contra Costa,San Ramon Regional Medical Center,106074017,Post-Operative Stroke,38,0,0.00,Average,-121.96,37.78
2014-2015,Contra Costa,San Ramon Regional Medical Center,106074017,30-Day Readmission,44,7,17.47,Average,-121.96,37.78
2014-2015,Contra Costa,San Ramon Regional Medical Center,106074017,CABG + Valve Operative Mortality,6,1,19.19,Average,-121.96,37.78
2014-2015,Contra Costa,San Ramon Regional Medical Center,106074017,Post-Operative Stroke ,47,0,0,Average,-121.96,37.78
2013-2014,Contra Costa,San Ramon Regional Medical Center,106074017,CABG + Valve Operative Mortality,8,2,26.57,Average,-121.96,37.78
2013-2014,Contra Costa,San Ramon Regional Medical Center,106074017,Post-Operative Stroke ,43,0,0,Average,-121.96,37.78
2011-2012,Contra Costa,San Ramon Regional Medical Center,106074017,Post-Operative Stroke ,64,0,0,Average,-121.96076,37.77713
2016,Contra Costa,San Ramon Regional Medical Center,106074017,CABG Operative Mortality,15,0,0.00,Average,-121.96,37.78
2015,Contra Costa,San Ramon Regional Medical Center,106074017,CABG Operative Mortality ,23,0,0,Average,-121.96,37.78
2014,Contra Costa,San Ramon Regional Medical Center,106074017,CABG Operative Mortality ,24,0,0,Average,-121.96,37.78
2013,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Readmission ,17,1,8.74,Average,-121.96,37.78
2013,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Readmission ,17,1,8.74,Average,-121.96,37.78
2013,Contra Costa,San Ramon Regional Medical Center,106074017,CABG + Valve Operative Mortality,6,1,28.08,Average,-121.96,37.78
2013,Contra Costa,San Ramon Regional Medical Center,106074017,CABG + Valve Operative Mortality,6,1,28.08,Average,-121.96,37.78
2013,Contra Costa,San Ramon Regional Medical Center,106074017,CABG Operative Mortality ,19,0,0,Average,-121.96,37.78
2013,Contra Costa,San Ramon Regional Medical Center,106074017,CABG Operative Mortality ,19,0,0,Average,-121.96,37.78
2013,Contra Costa,San Ramon Regional Medical Center,106074017,Post-Operative Stroke ,52,0,0,Average,-121.96,37.78
2013,Contra Costa,San Ramon Regional Medical Center,106074017,Post-Operative Stroke ,52,0,0,Average,-121.96,37.78
2012,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Readmission ,31,0,0,Average,-121.96076,37.77713
2012,Contra Costa,San Ramon Regional Medical Center,106074017,Operative Mortality ,33,0,0,Average,-121.96076,37.77713
2017-2018,Fresno,Community Regional Medical Center - Fresno,106100717,CABG + Valve Operative Mortality,25,3,10.58,Average,-119.78,36.74
2017-2018,Fresno,Community Regional Medical Center - Fresno,106100717,CABG 30-Day Readmission,269,48,14.02,Average,-119.78,36.74
2017-2018,Fresno,Community Regional Medical Center - Fresno,106100717,Post-Operative Stroke,308,6,1.27,Average,-119.78,36.74
2016-2017,Fresno,Community Regional Medical Center - Fresno,106100717,CABG + Valve Operative Mortality,37,4,9.58,Average,-119.78,36.74
2016-2017,Fresno,Community Regional Medical Center - Fresno,106100717,Post-Operative Stroke,353,5,1.02,Average,-119.78,36.74
2015-2016,Fresno,Community Regional Medical Center - Fresno,106100717,CABG + Valve Operative Mortality,40,3,6.03,Average,-119.78,36.74
2015-2016,Fresno,Community Regional Medical Center - Fresno,106100717,CABG 30-Day Readmission,323,57,14.63,Average,-119.78,36.74
2015-2016,Fresno,Community Regional Medical Center - Fresno,106100717,Post-Operative Stroke,364,5,1.03,Average,-119.78,36.74
2014-2015,Fresno,Community Regional Medical Center - Fresno,106100717,30-Day Readmission,370,72,17.07,Worse,-119.78,36.74
2014-2015,Fresno,Community Regional Medical Center - Fresno,106100717,CABG + Valve Operative Mortality,45,4,6.38,Average,-119.78,36.74
2014-2015,Fresno,Community Regional Medical Center - Fresno,106100717,Post-Operative Stroke ,404,6,1.19,Average,-119.78,36.74
2011-2012,Fresno,Community Regional Medical Center - Fresno,106100717,Post-Operative Stroke ,477,5,0.99,Average,-119.78324,36.74253
2018,Fresno,Community Regional Medical Center - Fresno,106100717,CABG Operative Mortality,135,5,2.56,Average,-119.78,36.74
2017,Fresno,Community Regional Medical Center - Fresno,106100717,CABG Operative Mortality,173,9,2.91,Average,-119.78,36.74
2016,Fresno,Community Regional Medical Center - Fresno,106100717,CABG Operative Mortality,180,10,4.21,Average,-119.78,36.74
2015,Fresno,Community Regional Medical Center - Fresno,106100717,CABG Operative Mortality ,184,3,1.13,Average,-119.78,36.74
2013,Fresno,Community Regional Medical Center - Fresno,106100717,30-day Readmission ,194,24,12,Average,-119.78,36.74
2013,Fresno,Community Regional Medical Center - Fresno,106100717,30-day Readmission ,194,24,12,Average,-119.78,36.74
2013,Fresno,Community Regional Medical Center - Fresno,106100717,CABG + Valve Operative Mortality,48,6,14.96,Average,-119.78,36.74
2013,Fresno,Community Regional Medical Center - Fresno,106100717,CABG + Valve Operative Mortality,48,6,14.96,Average,-119.78,36.74
2013,Fresno,Community Regional Medical Center - Fresno,106100717,CABG Operative Mortality ,213,4,1.75,Average,-119.78,36.74
2013,Fresno,Community Regional Medical Center - Fresno,106100717,CABG Operative Mortality ,213,4,1.75,Average,-119.78,36.74
2013,Fresno,Community Regional Medical Center - Fresno,106100717,Post-Operative Stroke ,447,3,0.65,Average,-119.78,36.74
2013,Fresno,Community Regional Medical Center - Fresno,106100717,Post-Operative Stroke ,447,3,0.65,Average,-119.78,36.74
2012,Fresno,Community Regional Medical Center - Fresno,106100717,30-day Readmission ,217,38,16.49,Average,-119.78324,36.74253
2012,Fresno,Community Regional Medical Center - Fresno,106100717,Operative Mortality ,234,7,3,Average,-119.78324,36.74253
2013-2014,Fresno,Community Regional Medical Center – Fresno,106100717,CABG + Valve Operative Mortality,51,2,3.48,Average,-119.78,36.74
2013-2014,Fresno,Community Regional Medical Center – Fresno,106100717,Post-Operative Stroke ,433,4,0.83,Average,-119.78,36.74
2014,Fresno,Community Regional Medical Center – Fresno,106100717,CABG Operative Mortality ,220,13,4.91,Worse,-119.78,36.74
